,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha_cere,param_alpha_cor,param_lambda_cere,param_lambda_cor,param_rank,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
277,168.7856423854828,29.006403887098063,0.10256481170654297,0.002301599485057201,100,10,1,1,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1, 'lambda_cor': 1, 'rank': 1}",-0.13241759902013744,-0.10383026722601581,-0.16070811557650716,-0.13231866060755346,0.0232203897448268,70
278,150.7529754638672,14.989511550745355,0.10524972279866536,0.005488845623962908,100,10,1,100,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1, 'lambda_cor': 100, 'rank': 1}",-0.13377421064721126,-0.10544683121861205,-0.16271443090133061,-0.13397849092238465,0.02337984589595842,161
279,132.98163191477457,50.620719475018156,0.10504110654195149,0.006172355160127393,100,10,1,1000,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1, 'lambda_cor': 1000, 'rank': 1}",-0.1340555537804397,-0.10583528416335794,-0.16340204749164272,-0.13443096181181347,0.023503031838696942,205
280,86.86164625485738,10.228864483405335,0.11084659894307454,0.00503744255443859,100,10,100,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 100, 'lambda_cor': 0.1, 'rank': 1}",-0.1335107070177351,-0.10515706782697631,-0.16303527674835794,-0.1339010171976898,0.02363029162627505,147
281,111.97928269704182,5.856342009187623,0.10039997100830078,0.0012437516914253748,100,10,100,1,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 100, 'lambda_cor': 1, 'rank': 1}",-0.13364911956164988,-0.10522456723937802,-0.1634027172300176,-0.13409213467701517,0.02375319600780311,178
282,108.20981605847676,10.41089006557958,0.11386466026306152,0.010697329063057672,100,10,100,100,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 100, 'lambda_cor': 100, 'rank': 1}",-0.1347537539599887,-0.10549563135440596,-0.1657469953950987,-0.13533212690316446,0.024600916021387895,272
283,82.96438487370808,12.270040788132787,0.107056458791097,0.006581069639261378,100,10,100,1000,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 100, 'lambda_cor': 1000, 'rank': 1}",-0.13440568179705795,-0.1052157313701456,-0.1671044579805247,-0.13557529038257607,0.025279499052869563,291
284,139.67215840021768,63.43099812571852,0.11469435691833496,0.006360852487096654,100,10,1000,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1000, 'lambda_cor': 0.1, 'rank': 1}",-0.1339973660748249,-0.10561385671677104,-0.1641573505083994,-0.1345895244333318,0.023903948836594198,221
285,169.00467578570047,70.87374100974024,0.10457412401835124,0.010727813958708017,100,10,1000,1,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1000, 'lambda_cor': 1, 'rank': 1}",-0.1339846929432682,-0.10560885044568401,-0.16454642285265403,-0.1347133220805354,0.02406667870204867,230
286,439.6164759000142,288.0808283466609,0.10276508331298828,0.002952824378762543,100,10,1000,100,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1000, 'lambda_cor': 100, 'rank': 1}",-0.13386679470484178,-0.10609195663920956,-0.16681658450370182,-0.13559177861591773,0.024820714258328273,292
287,192.75441511472067,95.12259464583592,0.10128823916117351,0.006517955405538433,100,10,1000,1000,1,"{'alpha_cere': 100, 'alpha_cor': 10, 'lambda_cere': 1000, 'lambda_cor': 1000, 'rank': 1}",-0.13477238766043836,-0.10841949043147955,-0.1684836259901151,-0.13722516802734433,0.02458234046014532,355
288,76.0970356464386,17.930848500008675,0.1382888158162435,0.03027530942699659,100,100,0.1,0.1,1,"{'alpha_cere': 100, 'alpha_cor': 100, 'lambda_cere': 0.1, 'lambda_cor': 0.1, 'rank': 1}",-0.13371815620085462,-0.10537249985603325,-0.16246840817370758,-0.13385302141019847,0.02330950204135053,141
