,conn_type,model,modelNum,numtessels,atlas,sub,logalpha,Rin,Rout
29,one2one,lasso,1,304,tessels0162,s12,-1.0,0.37200149086812917,0.3407637516280697
30,one2one,WTA_old,2,304,tessels0162,s12,,0.16784352025247742,0.11927685817719849
31,one2one,WTA,3,304,tessels0162,s12,,0.3918003012217383,0.36123403994898545
32,one2one,ridge,0,304,tessels0162,s14,8.0,0.36901315305423155,0.25665372818472176
33,one2one,lasso,1,304,tessels0162,s14,-1.0,0.37181913361191243,0.28986826594198817
34,one2one,WTA_old,2,304,tessels0162,s14,,0.21841741331331513,0.08135671446309399
35,one2one,WTA,3,304,tessels0162,s14,,0.3851777374282562,0.29444171429966676
36,one2one,ridge,0,304,tessels0162,s15,8.0,0.3518279752284578,0.33785697480600485
37,one2one,lasso,1,304,tessels0162,s15,-1.0,0.3647946514325597,0.35486770643673227
38,one2one,WTA_old,2,304,tessels0162,s15,,0.17353213562370493,0.19704891446491526
39,one2one,WTA,3,304,tessels0162,s15,,0.38375541484425646,0.3744488464967563
40,one2one,ridge,0,304,tessels0162,s17,8.0,0.35636485006499447,0.31812434098208214
41,one2one,lasso,1,304,tessels0162,s17,-1.0,0.37183971092672374,0.3473479956235143
42,one2one,WTA_old,2,304,tessels0162,s17,,0.1252457617530957,0.11937099136885103
43,one2one,WTA,3,304,tessels0162,s17,,0.39706222284769455,0.3762538185483153
44,one2one,ridge,0,304,tessels0162,s18,8.0,0.34185019450238585,0.30224137837102505
45,one2one,lasso,1,304,tessels0162,s18,-1.0,0.3648268263058346,0.3399717426723249
46,one2one,WTA_old,2,304,tessels0162,s18,,0.14195794913583157,0.12496357343143186
47,one2one,WTA,3,304,tessels0162,s18,,0.39041745942075023,0.3673246812199765
48,one2one,ridge,0,304,tessels0162,s19,8.0,0.36425215416408596,0.3185024198925521
49,one2one,lasso,1,304,tessels0162,s19,-1.0,0.37109938091768996,0.34050285098177074
50,one2one,WTA_old,2,304,tessels0162,s19,,0.19261884059462994,0.14051543822786766
51,one2one,WTA,3,304,tessels0162,s19,,0.38879657692307007,0.3577356366064548
52,one2one,ridge,0,304,tessels0162,s20,8.0,0.3714155301493831,0.3422680893218702
53,one2one,lasso,1,304,tessels0162,s20,-1.0,0.37369509906216275,0.3469087398492173
54,one2one,WTA_old,2,304,tessels0162,s20,,0.23744065025223793,0.22171177582520749
55,one2one,WTA,3,304,tessels0162,s20,,0.3863796241510457,0.36089836738597575
56,one2one,ridge,0,304,tessels0162,s21,8.0,0.3513433383414744,0.34808377155576764
57,one2one,lasso,1,304,tessels0162,s21,-1.0,0.3673392947079805,0.3623106497723584
58,one2one,WTA_old,2,304,tessels0162,s21,,0.17382265084240286,0.26229478420995844
59,one2one,WTA,3,304,tessels0162,s21,,0.38697822497256373,0.38605064349618046
60,one2one,ridge,0,304,tessels0162,s22,8.0,0.35255970498880584,0.3073324037036202
61,one2one,lasso,1,304,tessels0162,s22,-1.0,0.3685912994734978,0.3403082714590449
62,one2one,WTA_old,2,304,tessels0162,s22,,0.12871789033373748,0.11618985042094018
63,one2one,WTA,3,304,tessels0162,s22,,0.3929403803281225,0.3651921948880033
64,one2one,ridge,0,304,tessels0162,s24,8.0,0.36234538646139774,0.33110343175513773
65,one2one,lasso,1,304,tessels0162,s24,-1.0,0.3699902326284792,0.3453541019249189
66,one2one,WTA_old,2,304,tessels0162,s24,,0.21894594379170035,0.19414444271223333
67,one2one,WTA,3,304,tessels0162,s24,,0.38195753222297896,0.3567981926318177
68,one2one,ridge,0,304,tessels0162,s25,8.0,0.3556205601138028,0.34414195772118367
69,one2one,lasso,1,304,tessels0162,s25,-1.0,0.36685247789386266,0.35352482789981776
70,one2one,WTA_old,2,304,tessels0162,s25,,0.18248297915437803,0.19574335078475377
71,one2one,WTA,3,304,tessels0162,s25,,0.38506905852310286,0.3769451400439499
72,one2one,ridge,0,304,tessels0162,s26,8.0,0.36371745134148153,0.33136757522168947
73,one2one,lasso,1,304,tessels0162,s26,-1.0,0.3739733208659896,0.3527325200603905
74,one2one,WTA_old,2,304,tessels0162,s26,,0.2053088497550497,0.18431497274757
75,one2one,WTA,3,304,tessels0162,s26,,0.391278525569922,0.3680494232803366
76,one2one,ridge,0,304,tessels0162,s27,8.0,0.3755926825408486,0.34235708135701387
77,one2one,lasso,1,304,tessels0162,s27,-1.0,0.3738848474568688,0.34679970398399235
78,one2one,WTA_old,2,304,tessels0162,s27,,0.248154866968307,0.21452444332779116
79,one2one,WTA,3,304,tessels0162,s27,,0.386819398044776,0.3540949925934633
80,one2one,ridge,0,304,tessels0162,s28,8.0,0.35570289057669935,0.28741582387028586
81,one2one,lasso,1,304,tessels0162,s28,-1.0,0.3697511037135632,0.32740656956811187
82,one2one,WTA_old,2,304,tessels0162,s28,,0.16372324828545215,0.0824579851892281
83,one2one,WTA,3,304,tessels0162,s28,,0.3905746699879545,0.34667688287681436
84,one2one,ridge,0,304,tessels0162,s29,8.0,0.36259642853754387,0.347614396292292
85,one2one,lasso,1,304,tessels0162,s29,-1.0,0.369102769025276,0.3553985727047105
86,one2one,WTA_old,2,304,tessels0162,s29,,0.21725343830570337,0.23904424203914676
87,one2one,WTA,3,304,tessels0162,s29,,0.38406784373122266,0.3739163782014627
88,one2one,ridge,0,304,tessels0162,s30,8.0,0.3430720360280391,0.2881712675282704
89,one2one,lasso,1,304,tessels0162,s30,-1.0,0.3693279549914046,0.33847689967537625
90,one2one,WTA_old,2,304,tessels0162,s30,,0.10246316959583801,0.08622158356855548
91,one2one,WTA,3,304,tessels0162,s30,,0.3981792643187338,0.37280060708619783
92,one2one,ridge,0,304,tessels0162,s31,8.0,0.3409143831870704,0.29962030855805794
93,one2one,lasso,1,304,tessels0162,s31,-1.0,0.3625667417999909,0.3376152631336116
94,one2one,WTA_old,2,304,tessels0162,s31,,0.1401792771075206,0.12333828768945995
95,one2one,WTA,3,304,tessels0162,s31,,0.38960634299725627,0.36952545563349093
