,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
688,28,1.0,plsregress,crossed,tesselsWB162,0.08186601059573918,0.15381433487578083,1.0,0.5219592070335891,1,0.007184491272510275,0.2562077782212579
689,28,2.0,plsregress,crossed,tesselsWB162,0.12885664020774437,0.19611140004303287,1.0,0.60393393603232,1,0.010087508190169668,0.36250919780363733
690,28,3.0,plsregress,crossed,tesselsWB162,0.13177349129698082,0.1873413463198781,1.0,0.6111721200257292,1,0.011875576693326536,0.3895786695728765
691,28,4.0,plsregress,crossed,tesselsWB162,0.13073492526176067,0.15431301463161542,1.0,0.6265781431042946,1,0.011701678165543461,0.4003988109711412
692,28,5.0,plsregress,crossed,tesselsWB162,0.13676391250818173,0.15267481086267434,1.0,0.6490550925843802,1,0.011446965343415938,0.39879801727377456
693,28,6.0,plsregress,crossed,tesselsWB162,0.1579947569132853,0.16080556488371733,1.0,0.65475822247673,1,0.011428627993188112,0.40108158122896814
694,28,7.0,plsregress,crossed,tesselsWB162,0.16318473497926328,0.16640767476861773,1.0,0.6413964290952252,1,0.011914172793631073,0.40639080480425926
695,28,8.0,plsregress,crossed,tesselsWB162,0.14047330813338282,0.16028750389244287,1.0,0.6036880197238631,1,0.01285095225383531,0.4156589846602616
696,28,9.0,plsregress,crossed,tesselsWB162,0.14025878087125548,0.16119614860670825,1.0,0.6194388550277896,1,0.012765357509472327,0.41670195348643585
697,28,10.0,plsregress,crossed,tesselsWB162,0.13858952001248392,0.15756791113006824,1.0,0.5930142121841248,1,0.01298278419022804,0.41739731714049877
698,28,11.0,plsregress,crossed,tesselsWB162,0.12836948087562192,0.14779262007439972,1.0,0.5659643721067542,1,0.013071594810080914,0.41510829432031343
699,28,12.0,plsregress,crossed,tesselsWB162,0.11702778475904467,0.14200410603424612,1.0,0.5557965125435345,1,0.012998290266067337,0.4209416475542075
700,28,13.0,plsregress,crossed,tesselsWB162,0.12718663275228909,0.14558536099691277,1.0,0.5480042165943936,1,0.012890198137044142,0.4194693751969388
701,28,14.0,plsregress,crossed,tesselsWB162,0.1285393085961711,0.14777731840583128,1.0,0.5657596238101664,1,0.012771220959822286,0.4178656411770264
702,28,15.0,plsregress,crossed,tesselsWB162,0.12900837939489496,0.17385651926783854,1.0,0.5454106162185796,1,0.012619174954841588,0.4165584273645976
703,28,16.0,plsregress,crossed,tesselsWB162,0.12543058627176287,0.17258871567628012,1.0,0.5390236390440684,1,0.012925463675025596,0.41886669598669124
704,28,17.0,plsregress,crossed,tesselsWB162,0.12249079456831435,0.17475348746603858,1.0,0.5234583974719085,1,0.012985844916406034,0.4197425767548643
705,28,18.0,plsregress,crossed,tesselsWB162,0.11620998803455009,0.1732636901797124,1.0,0.4979631825892219,1,0.013128460985876937,0.4186897162984751
706,28,19.0,plsregress,crossed,tesselsWB162,0.11826302254392956,0.17410603577781808,1.0,0.5015905867223814,1,0.013090737290920595,0.4201121108369099
707,28,20.0,plsregress,crossed,tesselsWB162,0.1137730112215018,0.16818505928995012,1.0,0.49582427737420637,1,0.01323747757335949,0.4220211597501748
708,29,1.0,plsregress,crossed,tesselsWB162,0.12517140524143613,0.381112321192918,1.0,0.2605191954776613,1,0.005313749531649052,0.17899581593282318
709,29,2.0,plsregress,crossed,tesselsWB162,0.16654003575600115,0.38435233717342454,1.0,0.41247776312263934,1,0.009817195389952646,0.38084045586692944
710,29,3.0,plsregress,crossed,tesselsWB162,0.20009994313826765,0.37534987040072937,1.0,0.5385045407075395,1,0.011350504538220261,0.4094917033607437
711,29,4.0,plsregress,crossed,tesselsWB162,0.19821696574588757,0.3400355508946669,1.0,0.5858165823885942,1,0.01103533226847417,0.4026801239418754
712,29,5.0,plsregress,crossed,tesselsWB162,0.21269729648928665,0.35521684330674574,1.0,0.6137241336648137,1,0.011513834845743915,0.4019272545518438
713,29,6.0,plsregress,crossed,tesselsWB162,0.244265212260367,0.3275818789498134,1.0,0.6729416977439767,1,0.012507309398287104,0.4147919173192211
714,29,7.0,plsregress,crossed,tesselsWB162,0.24165040357627424,0.32411668542100974,1.0,0.6568261641095957,1,0.013885063590939984,0.42472822643118413
715,29,8.0,plsregress,crossed,tesselsWB162,0.21833512070971323,0.30020551426460296,1.0,0.6248054702985054,1,0.013862362126081542,0.41452780656002697
716,29,9.0,plsregress,crossed,tesselsWB162,0.2117203031320804,0.29781159316375805,1.0,0.6242582650871396,1,0.013606376642193895,0.4141604624051847
717,29,10.0,plsregress,crossed,tesselsWB162,0.2122268120000607,0.2996371864414539,1.0,0.6215018727551822,1,0.014060332414265665,0.418754999653515
718,29,11.0,plsregress,crossed,tesselsWB162,0.21608504752386717,0.30384863290870234,1.0,0.6260986732148591,1,0.01468955096351605,0.4220684283424609
719,29,12.0,plsregress,crossed,tesselsWB162,0.2119165606740373,0.30481347266274855,1.0,0.6064039226273188,1,0.014527611596012478,0.4210288962785554
720,29,13.0,plsregress,crossed,tesselsWB162,0.19970109847648335,0.2965257434678421,1.0,0.6087382850789435,1,0.014916506035318583,0.42413751567927815
721,29,14.0,plsregress,crossed,tesselsWB162,0.2066019515646397,0.28986764271750565,1.0,0.6019274305899439,1,0.01477828754095452,0.42299967742715694
722,29,15.0,plsregress,crossed,tesselsWB162,0.2111767627748253,0.29944216904361737,1.0,0.5632648140033069,1,0.014551901354970562,0.42287191767960397
723,29,16.0,plsregress,crossed,tesselsWB162,0.20476325695865907,0.27596064776537654,1.0,0.5724221724110868,1,0.014643133051533906,0.4241699133101647
724,29,17.0,plsregress,crossed,tesselsWB162,0.20002820606176036,0.26813888341464553,1.0,0.5815572917684797,1,0.014712561440779388,0.4232901602188356
725,29,18.0,plsregress,crossed,tesselsWB162,0.19969346516753494,0.2676565680007436,1.0,0.5842165915290497,1,0.014284998612604835,0.421200805350887
726,29,19.0,plsregress,crossed,tesselsWB162,0.19595881417381572,0.26268833951713333,1.0,0.5859176775492321,1,0.014356766903026784,0.4220772503610636
727,29,20.0,plsregress,crossed,tesselsWB162,0.194945518502705,0.26504326657824673,1.0,0.5794684850136531,1,0.014297104645247928,0.42048516732188745
728,30,1.0,plsregress,crossed,tesselsWB162,0.05029196109453806,0.18767659016422308,1.0,0.21823776016810992,1,0.009582087188862706,0.3757416824138954
729,30,2.0,plsregress,crossed,tesselsWB162,0.09531939842109606,0.1726886387093035,1.0,0.5742124738233391,1,0.00971190569368236,0.38984842847756906
730,30,3.0,plsregress,crossed,tesselsWB162,0.09300303673665236,0.15572080287396922,1.0,0.5587945160602307,1,0.00981452745737728,0.38682566955606773
731,30,4.0,plsregress,crossed,tesselsWB162,0.09817703259444958,0.1691392571857725,1.0,0.5765867310213749,1,0.009950462282537598,0.3919775340286856
732,30,5.0,plsregress,crossed,tesselsWB162,0.09842819182287987,0.16921888373805136,1.0,0.562040766044961,1,0.009993752797166437,0.3909659328468299
733,30,6.0,plsregress,crossed,tesselsWB162,0.1040334996664647,0.16688918854984688,1.0,0.5785830746903222,1,0.010946625624768573,0.40015568395337614
734,30,7.0,plsregress,crossed,tesselsWB162,0.1051160499489791,0.17872926260312452,1.0,0.5648927101677714,1,0.011768992893757779,0.4042827083515829
