,sn,params,model,trainMode,xname,Rcv,Rnc,Ry,Rp,splits,spIdx,ginni
16,group,5.0,plsregress,crossed,tesselsWB162,0.5670365436993069,0.627903935142695,1.0,0.9180888600452066,1,0.010887167103305301,0.3962026419597242
17,group,6.0,plsregress,crossed,tesselsWB162,0.5901674507310485,0.6534264723209384,1.0,0.9164447496466508,1,0.011281597847525388,0.4054408933461666
18,group,7.0,plsregress,crossed,tesselsWB162,0.5977455353503345,0.6570074900684044,1.0,0.9178868472826918,1,0.011478489346743526,0.40711403005239877
19,group,8.0,plsregress,crossed,tesselsWB162,0.5773945651862792,0.610712352732424,1.0,0.9480663707401233,1,0.012693401166163588,0.4229333492654936
20,group,9.0,plsregress,crossed,tesselsWB162,0.5860543098700077,0.6101777740943375,1.0,0.9218911730597846,1,0.013752375551677918,0.4174441123138024
21,group,10.0,plsregress,crossed,tesselsWB162,0.5785361664034442,0.6053117234308076,1.0,0.9057021472452997,1,0.013740902905097985,0.4161544050941587
22,group,11.0,plsregress,crossed,tesselsWB162,0.5861880613092253,0.6128699230237102,1.0,0.9013860876329706,1,0.014149034895592372,0.41942561870587247
23,group,12.0,plsregress,crossed,tesselsWB162,0.5774979452545081,0.6071988235571564,1.0,0.9036055717912114,1,0.014791867079337162,0.4169373981166087
24,group,13.0,plsregress,crossed,tesselsWB162,0.5818484557069973,0.6161224045609119,1.0,0.899347800259694,1,0.01573811819886083,0.42247541327203264
25,group,14.0,plsregress,crossed,tesselsWB162,0.5894838035961565,0.6256465231975183,1.0,0.8937708890502861,1,0.01675562400582351,0.42754430555051587
26,group,15.0,plsregress,crossed,tesselsWB162,0.5888049478833952,0.6236691382224303,1.0,0.8971196922280285,1,0.015943655412918024,0.4281790450638281
27,group,16.0,plsregress,crossed,tesselsWB162,0.586351116156773,0.6200980838310729,1.0,0.8957390473012327,1,0.016715596002603812,0.42774676595298733
28,group,17.0,plsregress,crossed,tesselsWB162,0.5826342037896786,0.6172674432045215,1.0,0.8959528572239787,1,0.01650986288672072,0.4279591021926317
29,group,18.0,plsregress,crossed,tesselsWB162,0.5845524038775557,0.6187751007639304,1.0,0.8925832612421376,1,0.01592488230302913,0.4278555106428344
30,group,19.0,plsregress,crossed,tesselsWB162,0.5842990802907092,0.6179894871149222,1.0,0.892226372323029,1,0.01590258125201467,0.42890559818276996
31,group,20.0,plsregress,crossed,tesselsWB162,0.584467880622329,0.6178277520377161,1.0,0.8929654267989812,1,0.015701558060589937,0.4294984792872525
32,group,1.0,l2regress,crossed,tesselsWB362,0.526031167242034,0.5396119399667775,1.0,0.763783668859317,1,0.007926309168463834,0.43478266079865746
